smiles,PCBA-1030,PCBA-1458,PCBA-1460,PCBA-2546,PCBA-2551,PCBA-485297,PCBA-485313,PCBA-485364,PCBA-504332,PCBA-504333,PCBA-504339,PCBA-504444,PCBA-504467,PCBA-588342,PCBA-624296,PCBA-624297,PCBA-624417,PCBA-651965,PCBA-652104,PCBA-686970,PCBA-686978,PCBA-686979,PCBA-720504
COCCCNC(=O)COc1ccc(Br)cc1Cl,0.0,1.0,0.0,,,,,,0.0,,,,,,,,,,0.0,,,0.0,
CCOC(=O)CCCc1ccc([Sb](=O)(O)O)cc1,,,,,,,,,,,1.0,,,,,,,,,,,,
Cc1cc2nnc(SC(C)C)n2c2ccccc12,,,,,,,,,,,,,,,,,,1.0,,,,,
COCCN(C(=S)Nc1cc(C)cc(C)c1)C(C)c1cccs1,,,,1.0,1.0,,,0.0,,,,,0.0,0.0,,0.0,,,,,,,
CCOc1ncccc1C(=O)N1CCCS/C1=N\c1ccc(C(C)=O)cc1,,,,,,,,,,,,,,,1.0,,,,,,0.0,,
CCOC(=O)c1[nH]c(C)c(C(=O)Nc2ccccc2F)c1C,,1.0,0.0,,,,0.0,,,,0.0,0.0,,,1.0,1.0,,,,,1.0,,0.0
CC(C)CN/C=C1\C(=O)C([N+](=O)[O-])=Cc2oc3c(c21)CCCC3,1.0,0.0,1.0,,,,,,,,0.0,,,,,,,,,,,,
COc1ccc(-c2nn(CCC#N)cc2C=C(C#N)C#N)cc1,,,,,,,,1.0,,0.0,0.0,,,,,,,,0.0,,,,
Cc1cc(=O)nc2[nH][nH]c(-c3ccccc3)c1-2,,,,,,,,,,,,,,,,,,1.0,,,,,
Cc1ccsc1-c1nc(CSCC(=O)N2CCC3(CC2)OCCO3)c(C)o1,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,
Cc1cccc(C)c1OCC(O)CN1CCC(CN2C(=O)c3cccc4cccc(c34)C2=O)CC1,,,,,,0.0,,,,,,,1.0,,,,,,,,,1.0,0.0
COc1ccc(S(=O)(=O)N2CCN(C(=S)Nc3ccc(S(N)(=O)=O)cc3)CC2)cc1,,,,,,,,,,,,,,,,,,1.0,0.0,,,,
Cc1onc(-c2ccccc2Cl)c1C(=O)Nc1ccc(OCC(=O)N2CCOCC2)cc1,,,,,,,,,,,,,1.0,,,,,,,,,,
CC1CCN(S(=O)(=O)c2cn(CC(=O)N3CCN(C)CC3)c(=O)c3ccccc23)CC1,,,,,,,,,,,,,,,,,,,0.0,,,,
CCOC(=O)CC(C(=O)OCC)P(=O)(c1ccccc1)c1ccccc1,1.0,,,,,,,,,,,,,,,,,,,,,,
Cc1ccc(-c2nn3c(C)nnc3s2)cc1NC(=O)c1ccc(-c2ccc(Cl)cc2Cl)o1,,,,,,,,,,,,,,,1.0,,,,,,,,
CCn1ccnc1CN(C)Cc1cn(-c2ccc(C)cc2)nc1-c1cccc(C)c1,,,,1.0,1.0,,,,1.0,1.0,,,0.0,,,,,,,,,,
Cc1ccc(S(=O)(=O)Nc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)cc1,,,,,,,,,,,,1.0,,,,,,,,,,,
OC(c1ccc(F)c(F)c1)c1nc(-c2cccs2)cs1,,,,,,,,,,,,,,,,,,,1.0,,,,
CC(C)NC(=O)CN1C(=O)C(=O)c2ccccc21,,,,,,,,,,,,,,,,,,,0.0,,,,0.0
CN(C)C(=O)O/N=C(\N)COc1ccc(C(C)(C)C)cc1,,,,,,,,,,,,,,,,1.0,,,,1.0,,,
COc1ccc(S(=O)(=O)N2CCC(C(=O)N[C@@H](C)C(=O)NC3CCCC3)CC2)cc1,,,,,,,,,,,,,,,,,,,,,,,1.0
CN(Cc1ccccc1)S(=O)(=O)c1ccc(Cl)c(C(=O)O)c1,,,,,,,,,,,,,,,,,,,,,,,0.0
Clc1ccc(C2=Nn3c(nnc3-c3n[nH]c4c3CCC4)SC2)cc1Cl,,1.0,,,,,,,1.0,,,,,,,,,,,,,,
Clc1ccc(N2CCN(Cc3ccco3)CC2)cc1,,,,,,,,,,,1.0,,,,,,,,,,,,
Cc1ccc2c(c1)C(=O)C(NC(=O)c1ccc(Cl)c(Cl)c1)CS2,,,,,,,,,,,,,,,,,,,,,,,0.0
CC(C)(CNC(=O)CC1C(=O)NCCN1Cc1cccc(F)c1F)N1CCOCC1,,,,,,,,,,,,,,,,,,,,,0.0,,
CCc1noc(C)c1C(=O)NNC(=O)c1ccc(Br)cc1,,,,,,,,,,,,,,,,,,,,,0.0,,
CCN(CC)C(=O)C(C)N(C#N)c1nc(C)cc(C)n1,0.0,,,,0.0,,0.0,,,,,,,0.0,0.0,,,,0.0,,,,
CCC(C)N(C)C1CCN(C(=S)Nc2ccc(OC)cc2)CC1,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,
Cc1cccc(NC(=O)CCC(=O)N/N=C/c2cccnc2)c1,,,,,,,,,,,,,,,,,,,,,,,0.0
CCc1sc(C(=O)Nc2nc(C)cs2)cc1C,,,,,1.0,,1.0,,,,,,,,,,1.0,,1.0,0.0,,,
CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=S)N1CCN(c2ccc(F)cc2)CC1,,,,,,,,,,,,,,,,,,,,,,0.0,
COc1cccc(C(=O)NCC2(c3ccccc3)CCCC2)c1OC,,,,,,,,,,,,,,,,,1.0,,,,,,
CC(Oc1ccc(Cl)cc1)C(=O)N/N=C/c1ccsc1,,,,,1.0,,,,,0.0,,0.0,,,0.0,,,,,,,,
O=C(Nc1ccccc1)c1ccc(CSc2ccccn2)cc1,,1.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,
CC(=C1C(=O)c2ccccc2C1=O)N1CCN(CCNC=C2C(=O)CC(C)(C)CC2=O)CC1,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,0.0,
CN1CCN(C(=O)C2=C[C@H](c3ccc(Br)cc3)C[C@H](OCCCCO)O2)CC1,,,,,,,,1.0,,,,,,,,,,,0.0,,,,
