mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_63267,CC1(C)OC(=O)C1(C)N,2.0626599999999997,1.5384,1.39642,4.1653,74.71,-0.2547,0.0134,0.2681,1099.9559,0.168389,-440.32151600000003,-440.311381,-440.31043700000004,-440.356046,37.559,-1898.1281287579998,-1909.543144977,-1920.8050489999998,-1763.2915048739999
gdb_60055,CC(O)CC1(O)CC1O,2.43838,1.1413,0.9359799999999999,1.8777,75.37,-0.2321,0.0662,0.2983,1345.8592,0.179926,-461.34436600000004,-461.334249,-461.333305,-461.379096,38.623000000000005,-1924.3950279891,-1936.709892114,-1948.5647921420002,-1783.0505082660998
gdb_3297,C#CC1CC2CC12,5.77597,2.11839,1.8763599999999998,0.8713,66.18,-0.2541,0.0496,0.3037,713.3266,0.125253,-271.31692200000003,-271.31055299999997,-271.30960899999997,-271.346906,24.758000000000003,-1498.073571006,-1507.4096499081,-1515.7078289239998,-1399.5151249389999
gdb_79922,CC1C2C=C(C)C1C2O,2.24234,1.55101,1.20465,1.1434,84.46,-0.2147,0.0233,0.2381,1154.7284,0.182197,-387.066107,-387.057296,-387.056352,-387.098865,34.826,-2023.1367066841,-2036.2723525810998,-2048.127252609,-1881.0667865571
gdb_24827,N=C1C=CNC=CC1=O,2.6672599999999997,1.66208,1.02399,7.8954,81.87,-0.2227,-0.0513,0.1714,1085.4505,0.115856,-416.835608,-416.828211,-416.827267,-416.868375,28.048000000000002,-1581.973406833,-1590.663778974,-1598.960702972,-1479.405805765
gdb_129204,N=C1NN=CC(C=O)=C1,3.83236,1.17614,0.89995,1.6499,77.52,-0.2293,-0.0942,0.1351,1191.8723,0.102699,-432.886837,-432.87946100000005,-432.878517,-432.918983,27.438000000000002,-1465.51589405,-1473.330263627,-1481.03419162,-1368.93598386
gdb_31169,c1c(c(c(o1)N)CO)N,2.19176,1.6344100000000001,0.9639,2.2167,72.76,-0.1669,0.0447,0.2116,1179.1566,0.136649,-455.15550999999994,-455.146358,-455.14541299999996,-455.189217,34.205,-1645.6963182739999,-1655.061890099,-1664.544178598,-1530.0915902220001
gdb_121468,C1C(=NCCO)OCO1,5.11908,0.76103,0.68594,3.2382,72.21,-0.2481,0.0099,0.258,1603.3024,0.147898,-476.221281,-476.21239800000006,-476.211453,-476.256459,31.3,-1698.896531294,-1709.319455784,-1719.3947402879999,-1577.5814713420002
gdb_78175,CC1NC(=O)C2C(O)C12,2.35535,1.65681,1.30713,3.7517,71.77,-0.2421,0.0119,0.254,1035.8023,0.149034,-439.114412,-439.10641699999996,-439.105473,-439.146617,31.5,-1768.5111247360999,-1779.491904727,-1789.56781674,-1645.586504199
gdb_28594,NC1=CN=C(O1)C1CO1,5.3190800000000005,0.9965799999999999,0.8870299999999999,2.8712,71.21,-0.2051,0.001,0.20600000000000002,1267.3269,0.113376,-453.945403,-453.937504,-453.93656,-453.97863099999995,28.772,-1514.194904725,-1522.569639839,-1530.866563837,-1411.660561634
gdb_82764,CC1C2CC3C2OCC13,2.69686,1.85257,1.48611,1.4411,80.45,-0.2335,0.0933,0.3268,982.6756,0.186357,-387.085984,-387.079043,-387.078098,-387.116873,29.506,-2035.6097030771,-2049.9187908041,-2061.773063323,-1892.3669686291
gdb_64786,CC1(CC#CC#N)CO1,4.5472,0.6843199999999999,0.66725,5.9755,83.13,-0.2792,-0.0419,0.2373,1662.9379,0.12231800000000001,-400.720176,-400.710996,-400.71005099999996,-400.755085,32.549,-1658.142959289,-1666.6036631360998,-1675.49295563,-1550.5421085321
gdb_122989,CCCCCC1(CC1)C,4.25557,0.55175,0.53256,0.1349,97.38,-0.2607,0.0854,0.3461,2260.3437,0.250817,-353.56192999999996,-353.55066400000004,-353.54972000000004,-353.598981,41.698,-2469.9180946121,-2486.8451498871,-2502.258025945,-2290.685208978
gdb_85876,CC1(O)CC(O)C1C#N,2.07627,1.58481,1.1924299999999999,3.4094,72.39,-0.2751,0.019,0.294,1100.0134,0.145669,-439.091117,-439.081744,-439.0808,-439.124799,35.119,-1753.8933025810998,-1764.0093751701002,-1774.085287183,-1631.895512837
gdb_64334,CC1(CCOC(=O)C1)C,2.52137,1.36551,1.12048,4.5435,78.25,-0.2557,0.0158,0.2715,1186.007,0.18251900000000001,-424.28253099999995,-424.273496,-424.27255199999996,-424.316004,34.779,-2022.2688617371,-2035.2633181091,-2047.1182181370998,-1880.3915868730999
gdb_8325,C1CC2(C1)CC(=O)O2,5.92924,1.34241,1.33612,4.2488,64.79,-0.272,0.0133,0.2853,953.8109,0.130933,-383.76367200000004,-383.756758,-383.755814,-383.795005,26.357,-1601.2134602820001,-1611.095472014,-1619.986019526,-1493.862358107
gdb_90139,CC1CC23CC12OC=N3,3.4015699999999995,1.5470700000000002,1.40596,1.4516,74.22,-0.2235,0.0088,0.2323,985.5988,0.148675,-401.908394,-401.901095,-401.900151,-401.939722,29.463,-1775.9088283371,-1787.3269821011,-1797.402894114,-1652.6899060791
gdb_100246,CNC(C)(CC#N)C=O,2.5643,1.15012,0.9803299999999999,5.3185,76.24,-0.2489,-0.039,0.2099,1276.3738,0.15621600000000002,-419.217698,-419.207174,-419.20623,-419.25385,36.830999999999996,-1821.053080815,-1831.3354432891,-1842.0043513070002,-1693.867674168
gdb_105689,CCC1(COC=N)CO1,2.70502,0.99675,0.90925,3.6849,77.13,-0.2566,0.025,0.2815,1401.2076,0.16905799999999999,-440.262203,-440.252305,-440.25136100000003,-440.29805700000003,35.228,-1860.9086874410998,-1872.4724232929998,-1883.734327316,-1726.902885473
gdb_109388,CCC1=CCCCCC1,2.9082,1.04765,0.84729,0.2479,95.63,-0.223,0.0273,0.2503,1496.8366,0.23105100000000003,-352.38349900000003,-352.374017,-352.373073,-352.417668,36.900999999999996,-2358.293656147,-2374.5630819901003,-2388.789966038,-2190.623251347
gdb_40585,C1CC1C1C2C3CC2C13,5.35555,0.9879600000000001,0.9716,0.0801,87.79,-0.2604,0.098,0.3583,1310.5053,0.183997,-349.862474,-349.855031,-349.854087,-349.894653,30.283,-2032.0310192501001,-2046.0257249681,-2057.8806249960003,-1889.8537950841
gdb_98907,C1COC(O1)C(=O)CO,3.3610900000000004,1.03421,0.97796,4.1917,65.08,-0.2578,-0.0387,0.2191,1257.7771,0.134711,-496.100587,-496.091637,-496.090693,-496.136183,30.998,-1635.4308985431,-1644.923227186,-1654.406143194,-1521.115701486
gdb_101397,CC(CO)C1NCC1=O,3.15698,0.95158,0.86018,2.7334,75.73,-0.2439,-0.0279,0.21600000000000003,1399.7042,0.169208,-440.271542,-440.261658,-440.26071399999995,-440.306912,35.661,-1866.7689939921,-1878.34151497,-1889.6034189929999,-1732.4594776679999
gdb_35112,C#CC1N=COC2CC12,3.19117,1.47908,1.15039,2.1994,74.22,-0.255,0.016,0.271,1046.5699,0.124868,-400.70061699999997,-400.693044,-400.69209900000004,-400.73294100000004,29.241,-1645.869510758,-1655.3386215679998,-1664.227914062,-1536.646549236
gdb_24210,C1C2CC1C1=NC=CN21,4.0814699999999995,1.65353,1.43423,3.9934,77.41,-0.2036,0.0346,0.2382,922.5493,0.140638,-380.87,-380.863813,-380.862868,-380.9012,25.408,-1739.88792921,-1751.1153202381,-1760.5976087370002,-1623.2220834391
gdb_59211,CC(C)C1C2CC1CC2,2.9904599999999997,1.15953,1.04262,0.1003,92.1,-0.2789,0.0841,0.363,1327.1355,0.23081300000000002,-352.35661600000003,-352.347645,-352.346701,-352.390111,35.964,-2341.4243316999996,-2358.0144146421,-2372.24129869,-2173.330985834
gdb_107059,CCC12CCC(C)C1O2,3.7432300000000005,1.06884,0.9510799999999999,1.7168,85.3,-0.2497,0.08900000000000001,0.3387,1366.2183,0.205771,-388.306749,-388.29737400000005,-388.29643,-388.340757,35.961999999999996,-2173.7991075481,-2188.3579438571,-2201.398835895,-2019.1426118991
gdb_79128,OC1C2C3OC(=N)C2C13,5.2881800000000005,1.2329,1.1380299999999999,3.2104,70.19,-0.2552,0.0223,0.2776,1050.1688,0.12626600000000002,-437.847795,-437.84106399999996,-437.840119,-437.87875,27.225,-1601.5491775971,-1611.5460234761,-1620.43531597,-1491.2111325820001
gdb_24178,c1cc2ccncn2c1,4.08372,1.6968299999999998,1.19874,1.3614,83.1,-0.1974,-0.03,0.1673,958.7289999999999,0.117377,-379.74771699999997,-379.741685,-379.740741,-379.77791,24.846999999999998,-1663.496866077,-1673.0444155120001,-1681.34133951,-1559.570080515
gdb_34813,N#CC1C2OC1C1OC21,4.2701199999999995,1.33911,1.2605,4.1195,64.21,-0.2679,0.0139,0.2818,968.9214,0.102011,-436.62335700000006,-436.616951,-436.616007,-436.65420700000004,25.334,-1461.054932569,-1469.478613385,-1477.1825413781,-1364.021960881
gdb_22240,CC(=NO)C(O)CCO,3.13844,0.71453,0.67797,0.8159,75.48,-0.247,0.0078,0.2548,1717.4597,0.166946,-477.37159,-477.360301,-477.35935700000005,-477.40890700000006,39.333,-1792.8741616610998,-1803.564404985,-1814.826309008,-1659.5303816879998
gdb_1999,CC(O)CC1CC1,5.8156,1.47446,1.2741200000000001,1.5085,67.91,-0.2587,0.0745,0.3332,988.0010000000001,0.170524,-310.907823,-310.899513,-310.898569,-310.940519,30.518,-1731.508174024,-1743.179841424,-1753.85000446,-1607.653585149
gdb_39782,C1OC11C2NC1C1NC21,3.0455799999999997,1.88254,1.52544,2.8159,71.35,-0.2348,0.0719,0.3067,896.0688,0.13840999999999998,-417.896166,-417.889752,-417.888808,-417.926608,27.034000000000002,-1619.631476941,-1630.7157959170002,-1640.198711925,-1502.233955676
gdb_73202,OC12COC1CC2C=O,2.35913,1.51043,1.37548,2.1048,68.05,-0.2486,-0.0338,0.2148,1022.6284,0.134048,-458.927407,-458.91900899999996,-458.91806399999996,-458.96082199999995,30.934,-1663.4347426860998,-1673.2740838061,-1682.756372305,-1548.0069721721
